os,channel,version,timestamp
win,canary_asan,85.0.4166.2,2020-06-07 07:08:02.099291
win64,canary_asan,85.0.4166.2,2020-06-07 07:08:01.353305
win,canary,85.0.4166.0,2020-06-06 10:54:01.568381
android,canary,85.0.4166.0,2020-06-06 10:09:03.795934
win,canary_asan,85.0.4166.1,2020-06-06 06:54:02.050433
win64,canary_asan,85.0.4166.1,2020-06-06 06:54:01.271163
mac,canary,85.0.4166.0,2020-06-06 06:24:00.957241
win64,canary,85.0.4166.0,2020-06-06 05:24:01.539700
linux,dev,85.0.4164.2,2020-06-05 17:42:04.764512
win,dev,85.0.4164.2,2020-06-05 17:42:02.152668
win64,dev,85.0.4164.2,2020-06-05 17:42:01.116742
mac,dev,85.0.4164.2,2020-06-05 17:27:00.746340
android,canary,85.0.4165.0,2020-06-05 09:12:02.929815
win,canary_asan,85.0.4165.1,2020-06-05 07:12:02.139617
win64,canary_asan,85.0.4165.1,2020-06-05 07:12:01.443344
win,canary,85.0.4165.0,2020-06-05 06:57:02.039858
win64,canary,85.0.4165.0,2020-06-05 06:57:01.286682
win64,canary,85.0.4164.4,2020-06-05 06:42:01.405851
mac,canary,85.0.4165.0,2020-06-05 05:43:01.373406
win,canary,85.0.4164.4,2020-06-05 05:28:01.429084
mac,canary,85.0.4164.3,2020-06-05 02:43:01.197246
win,canary,85.0.4164.3,2020-06-05 02:28:02.319635
win,canary,85.0.4164.2,2020-06-05 00:28:02.451832
win64,canary,85.0.4164.2,2020-06-05 00:28:01.640408
cros,dev,85.0.4161.0,2020-06-05 00:14:32.677578
mac,canary,85.0.4164.2,2020-06-04 23:43:01.168293
webview,dev,85.0.4162.4,2020-06-04 22:29:35.524867
android,dev,85.0.4162.4,2020-06-04 22:28:03.006000
linux,beta,84.0.4147.38,2020-06-04 17:13:04.282298
win,beta,84.0.4147.38,2020-06-04 16:58:02.032227
win64,beta,84.0.4147.38,2020-06-04 16:58:01.259051
mac,beta,84.0.4147.38,2020-06-04 16:58:00.609026
android,canary,85.0.4164.0,2020-06-04 09:28:03.357193
win,canary,85.0.4164.0,2020-06-04 06:58:02.118849
win,canary_asan,85.0.4164.1,2020-06-04 06:43:02.659960
win64,canary_asan,85.0.4164.1,2020-06-04 06:43:01.697114
win64,canary,85.0.4164.0,2020-06-04 06:28:01.653757
mac,canary,85.0.4164.0,2020-06-04 05:43:01.624344
cros,stable,83.0.4103.97,2020-06-04 01:43:30.664222
webview,beta,84.0.4147.37,2020-06-03 22:29:34.740858
android,beta,84.0.4147.37,2020-06-03 22:28:02.009316
android,canary,85.0.4163.2,2020-06-03 18:28:04.043644
linux,stable,83.0.4103.97,2020-06-03 17:58:03.053945
win,stable,83.0.4103.97,2020-06-03 17:43:02.351603
win64,stable,83.0.4103.97,2020-06-03 17:43:01.631111
mac,stable,83.0.4103.97,2020-06-03 17:43:00.878298
win,canary_asan,85.0.4163.1,2020-06-03 06:43:02.633656
win64,canary_asan,85.0.4163.1,2020-06-03 06:43:01.926866
win,canary,85.0.4163.0,2020-06-03 06:28:01.993154
win64,canary,85.0.4163.0,2020-06-03 06:13:01.284482
mac,canary,85.0.4163.0,2020-06-03 05:28:01.048582
